Time,Jitter_X,Jitter_Y,Jitter_Z
0.013,0.0,0.0,0.0
0.026,0.0,0.0,0.0
0.038,0.0,0.0,0.0
0.04,0.0,0.0,0.0
0.05,0.0,0.0,0.0
0.06,0.0,0.0,0.0
0.071,0.0,0.0,0.0
0.08,0.0,0.0,0.0
0.09,0.0,0.0,0.0
0.107,0.0,0.0,0.0
0.11,0.0,0.0,0.0
0.122,0.0,0.0,0.0
0.13,0.0,0.0,0.0
0.147,0.0,0.0,0.0
0.157,0.0,0.0,0.0
0.871,0.0,0.0,0.0
0.88,0.0,0.0,0.0
0.89,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.913,0.0,0.0,0.0
0.921,0.0,0.0,0.0
0.939,0.0,0.0,0.0
0.94,0.0,0.0,0.0
0.956,0.0,0.0,0.0
0.96,0.0,0.0,0.0
0.97,0.0,0.0,0.0
0.98,0.0,0.0,0.0
0.991,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.01,0.0,0.0,0.0
1.021,0.0,0.0,0.0
1.03,0.0,0.0,0.0
1.044,0.0,0.0,0.0
1.05,0.0,0.0,0.0
1.068,0.0,0.0,0.0
1.07,0.0,0.0,0.0
1.08,0.0,0.0,0.0
1.091,0.0,0.0,0.0
1.105,0.0,0.0,0.0
1.11,0.0,0.0,0.0
1.121,0.0,0.0,0.0
1.13,0.0,0.0,0.0
1.143,0.0,0.0,0.0
1.152,0.0,0.0,0.0
1.163,0.0,0.0,0.0
1.17,0.0,0.0,0.0
1.18,0.0,0.0,0.0
1.198,0.0,0.0,0.0
1.2,0.0,0.0,0.0
1.21,0.0,0.0,0.0
1.23,0.0,0.0,0.0
1.23,0.0,0.0,0.0
1.245,0.0,0.0,0.0
1.251,0.0,0.0,0.0
1.26,0.0,0.0,0.0
1.271,0.0,0.0,0.0
1.28,0.0,0.0,0.0
1.294,0.0,0.0,0.0
1.301,0.0,0.0,0.0
1.31,0.0,0.0,0.0
1.326,0.0,0.0,0.0
1.335,0.0,0.0,0.0
1.343,0.0,0.0,0.0
1.357,0.0,0.0,0.0
1.36,0.0,0.0,0.0
1.378,0.0,0.0,0.0
1.38,0.0,0.0,0.0
1.396,0.0,0.0,0.0
1.41,0.0,0.0,0.0
1.41,0.0,0.0,0.0
1.425,0.0,0.0,0.0
1.449,0.0,0.0,0.0
1.456,0.0,0.0,0.0
1.68,0.0,0.0,0.0
1.691,0.0,0.0,0.0
1.99,0.0,0.0,0.0
2.0,0.0,0.0,0.0
2.34,5.563889675476638e-10,-1.3211787406913558e-07,0.035904400775801495
2.35,0.0,0.0,0.0
2.674,1.9867643914652787e-09,-4.546557720512725e-07,0.12458418604265102
2.68,0.0,0.0,0.0
2.99,1.96147536233715e-09,-4.488962230856465e-07,0.12300425646756386
3.001,0.0,0.0,0.0
3.302,2.1664016143301638e-09,-4.958040423733095e-07,0.1358571349939392
3.32,0.0,0.0,0.0
3.321,0.0,0.0,0.0
3.33,0.0,0.0,0.0
3.348,0.0,0.0,0.0
3.351,0.0,0.0,0.0
3.36,0.0,0.0,0.0
3.371,7.502480926165989e-10,-1.7170338682008077e-07,0.047049022446040645
3.385,0.0,0.0,0.0
3.39,0.0,0.0,0.0
3.401,0.0,0.0,0.0
3.414,0.0,0.0,0.0
3.42,0.0,0.0,0.0
3.435,0.0,0.0,0.0
3.68,1.5285532354743832e-09,-3.498290598567521e-07,0.09585776993941275
3.691,0.0,0.0,0.0
3.7,0.0,0.0,0.0
3.726,7.750207726000429e-10,-1.773738774763982e-07,0.048602753329515025
3.733,0.0,0.0,0.0
3.742,0.0,0.0,0.0
3.753,0.0,0.0,0.0
3.76,7.804806234560053e-10,-1.7862364267380822e-07,0.04894519261758146
3.775,0.0,0.0,0.0
3.78,0.0,0.0,0.0
3.79,0.0,0.0,0.0
3.809,0.0,0.0,0.0
3.813,0.0,0.0,0.0
3.824,0.0,0.0,0.0
3.843,0.0,0.0,0.0
3.851,0.0,0.0,0.0
4.08,2.3651611704739718e-09,-5.413002990042018e-07,0.14832324124515117
4.101,0.0,0.0,0.0
4.119,0.0,0.0,0.0
4.12,0.0,0.0,0.0
4.134,0.0,0.0,0.0
4.14,0.0,0.0,0.0
4.156,0.0,0.0,0.0
4.16,0.0,0.0,0.0
4.17,0.0,0.0,0.0
4.18,0.0,0.0,0.0
4.194,0.0,0.0,0.0
4.202,0.0,0.0,0.0
4.21,0.0,0.0,0.0
4.222,7.940543151760224e-10,-1.8173067398023743e-07,0.04979652820461933
4.239,0.0,0.0,0.0
4.25,0.0,0.0,0.0
